Date;Price;Change %
May 19/2021;22.18;3.94%
May 18/2021;21.34;8.22%
May 17/2021;19.72;4.84%
May 14/2021;18.81;-18.68%
May 13/2021;23.13;-16.17%
May 12/2021;27.59;26.33%
May 11/2021;21.84;11.09%
May 10/2021;19.66;17.80%
May 07/2021;16.69;-9.24%
May 06/2021;18.39;-3.97%
May 05/2021;19.15;-1.69%
May 04/2021;19.48;6.39%
May 03/2021;18.31;-1.61%
Apr 30/2021;18.61;5.68%
Apr 29/2021;17.61;1.91%
Apr 28/2021;17.28;-1.59%
Apr 27/2021;17.56;-0.45%
Apr 26/2021;17.64;1.79%
Apr 23/2021;17.33;-7.38%
Apr 22/2021;18.71;6.91%
Apr 21/2021;17.50;-6.32%
Apr 20/2021;18.68;8.04%
Apr 19/2021;17.29;6.40%
Apr 16/2021;16.25;-1.93%
Apr 15/2021;16.57;-2.47%
Apr 14/2021;16.99;2.04%
Apr 13/2021;16.65;-1.54%
Apr 12/2021;16.91;1.32%
Apr 09/2021;16.69;-1.53%
Apr 08/2021;16.95;-1.22%
Apr 07/2021;17.16;-5.30%
Apr 06/2021;18.12;1.17%
Apr 05/2021;17.91;3.35%
Apr 02/2021;17.33;0.00%
Apr 01/2021;17.33;-10.67%
Mar 31/2021;19.40;-1.07%
Mar 30/2021;19.61;-5.45%
Mar 29/2021;20.74;9.97%
Mar 26/2021;18.86;-4.80%
Mar 25/2021;19.81;-6.56%
Mar 24/2021;21.20;4.43%
Mar 23/2021;20.30;7.52%
Mar 22/2021;18.88;-9.88%
Mar 19/2021;20.95;-2.92%
Mar 18/2021;21.58;12.22%
Mar 17/2021;19.23;-2.83%
Mar 16/2021;19.79;-1.20%
Mar 15/2021;20.03;-3.19%
Mar 12/2021;20.69;-5.57%
Mar 11/2021;21.91;-2.88%
Mar 10/2021;22.56;-6.12%
Mar 09/2021;24.03;-5.65%
Mar 08/2021;25.47;3.28%
Mar 05/2021;24.66;-13.69%
Mar 04/2021;28.57;7.12%
Mar 03/2021;26.67;10.66%
Mar 02/2021;24.10;3.21%
Mar 01/2021;23.35;-16.46%
Feb 26/2021;27.95;-3.25%
Feb 25/2021;28.89;35.38%
Feb 24/2021;21.34;-7.66%
Feb 23/2021;23.11;-1.45%
Feb 22/2021;23.45;6.35%
