DT_COMPTC;IBOV;Dol;NDX;SPX;Fluxo
03/01/2005;25722.0;26.759;1603.51;1202.08;20.621
04/01/2005;24848.0;2.719;1571.83;1188.05;3.777
05/01/2005;24691.8;2.714;1563.76;1183.74;2.692
06/01/2005;24366.9;27.218;1557.52;1187.89;14.528
07/01/2005;24747.2;2.712;1564.81;1186.19;-2.328
10/01/2005;24291.9;27.035;1564.92;1190.24;2.529
11/01/2005;24369.9;27.213;1553.4;1182.99;1.809
12/01/2005;24509.6;27.065;1565.78;1187.7;5.124
13/01/2005;24805.7;2.704;1545.18;1177.45;1.752
14/01/2005;24924.1;27.015;1561.11;1184.52;3.06
17/01/2005;24515.2;2.701;1561.11;1184.52;1.168
18/01/2005;24089.2;27.195;1573.49;1195.98;1.504
19/01/2005;24271.2;2.71;1545.65;1184.63;15.864
20/01/2005;23610.0;27.165;1514.56;1175.41;4.414
21/01/2005;23818.4;26.869;1503.64;1167.87;2.516
24/01/2005;24197.7;26.792;1480.66;1163.75;-0.024
25/01/2005;24197.7;26.815;1490.57;1168.41;9.999
26/01/2005;24530.2;26.645;1509.01;1174.07;1.676
27/01/2005;24029.7;2.67;1507.55;1174.55;3.345
28/01/2005;23968.1;2.645;1499.46;1171.36;1.517
31/01/2005;24350.6;26.088;1519.63;1181.27;-29.098
01/02/2005;24149.5;2.61;1523.66;1189.41;18.47
02/02/2005;24605.4;26.025;1525.1;1193.19;1.547
03/02/2005;24873.6;26.018;1508.24;1189.89;3.194
04/02/2005;25731.9;2.613;1534.49;1203.03;3.937
09/02/2005;26313.5;26.025;1506.81;1191.99;2.66
10/02/2005;26415.8;2.618;1506.83;1197.01;9.145
11/02/2005;26670.5;26.045;1530.51;1205.3;4.903
14/02/2005;26531.9;2.579;1538.21;1206.14;5.552
15/02/2005;26610.1;25.855;1547.3;1210.13;1.07
16/02/2005;26384.1;2.578;1542.41;1210.34;18.68
17/02/2005;27090.9;25.665;1519.29;1200.75;11.477
18/02/2005;26756.3;25.757;1515.4;1201.59;-9.353
21/02/2005;26853.1;25.845;1515.4;1201.59;-1.61
22/02/2005;26740.1;26.005;1494.07;1184.16;76.269
23/02/2005;27198.5;25.945;1497.09;1190.8;4.088
24/02/2005;28436.2;26.359;1517.71;1200.2;12.572
25/02/2005;28425.0;26.183;1526.9;1211.37;8.085
28/02/2005;28139.1;25.875;1511.02;1203.6;8.414
01/03/2005;27730.0;26.275;1527.25;1210.41;0.481
02/03/2005;28199.7;2.639;1525.28;1210.08;-29.198
03/03/2005;28668.4;2.681;1511.89;1210.47;39.513
04/03/2005;29197.2;2.656;1520.58;1222.13;27.693
07/03/2005;29455.4;26.823;1545.2;1225.31;12.239
08/03/2005;29021.2;2.697;1528.65;1219.43;-9.618
09/03/2005;28514.5;2.717;1521.98;1207.01;-52.968
10/03/2005;28567.5;2.713;1524.38;1209.25;-13.962
11/03/2005;28074.9;27.168;1505.64;1200.08;1.389
14/03/2005;28098.9;27.425;1515.09;1206.83;9.167
