,IBOV,Dol,NDX,SPX,cap,resg,IBOV_Dol,IBOV_NDX,IBOV_SPX,IBOV_cap,IBOV_resg,Dol_NDX,Dol_SPX,Dol_cap,Dol_resg,NDX_SPX,NDX_cap,NDX_resg,SPX_cap,SPX_resg,cap_resg
IBOV,1.0,0.6352658809803474,0.8331329091787053,0.7973549922589821,0.6491735747027698,0.2082454966584211,0.3035833316449194,-0.30361881178726685,0.12494167788697552,-0.44088548123681043,-0.20454791736650846,-0.7287099363863584,-0.4346065314811937,-0.4111759158622262,-0.19903414631034716,0.8184262414175365,-0.33267159943282354,-0.13569599512619326,-0.4221110749519143,-0.20082766026749893,0.10704774688330158
Dol,0.6352658809803474,1.0,0.925298165529452,0.904619588113867,0.5133513491674214,0.1983645966572506,-0.5037607784877692,-0.7742030684143919,-0.5240591155354771,-0.19565959617730141,-0.09923290228908728,-0.44865700574262013,0.04665801712650833,-0.03635598607180945,-0.023133043883069877,0.8815200236859966,0.07120870053436139,0.04373197052672355,-0.05239579475197639,-0.02971705330270549,0.02371914099125532
NDX,0.8331329091787053,0.925298165529452,1.0,0.9779917105589033,0.597828976374525,0.22420633323146086,-0.2261636698592067,-0.7177871512794071,-0.3740689235742279,-0.314257196999837,-0.15978433005394393,-0.6736547281840135,-0.250101412707061,-0.2028936500908232,-0.10543455014678292,0.9578469246990111,-0.07014202349106034,-0.02371012250458527,-0.2002394362364525,-0.1049034478625937,0.04735495463463336
SPX,0.7973549922589821,0.904619588113867,0.9779917105589033,1.0,0.5681795110300354,0.20300546464887026,-0.26553670691068615,-0.7855604900903674,-0.4805711063596017,-0.3138338801291859,-0.15422275555543047,-0.7143242570838216,-0.3449707994555257,-0.19428195916621846,-0.10027202151777416,0.921644494354452,-0.035268847860128995,-0.004525093805572263,-0.1758787726892211,-0.09162378253935986,0.06281894463157518
cap,0.6491735747027698,0.5133513491674214,0.597828976374525,0.5681795110300354,1.0,0.2569573363368679,0.05145154780405905,-0.25782198761034497,-0.031091734393420188,-0.4098125303698454,-0.13649394156194777,-0.3724686560400925,-0.16989197525523053,-0.26983703036270495,-0.09984703309027317,0.5381690544273429,-0.3291161884142886,-0.09163794893909691,-0.3194740062734578,-0.11099421750138241,0.4176464935798828
resg,0.2082454966584211,0.1983645966572506,0.22420633323146086,0.20300546464887026,0.2569573363368679,1.0,-0.010331476885975853,-0.1103639582999501,-0.03043759315919938,-0.10672929094395588,-0.07652746943799381,-0.13401291059539583,-0.042689325593050435,-0.07402409291118149,-0.04697402814004649,0.20942197448011643,-0.07337337589771965,-0.060281374672034906,-0.08379394410351551,-0.05705799658614175,-0.0465498642912983
IBOV_Dol,0.3035833316449194,-0.5037607784877692,-0.2261636698592067,-0.26553670691068615,0.05145154780405905,-0.010331476885975853,1.0,0.6564492985780827,0.8418300309476022,-0.23302303897399756,-0.11385346149882852,-0.27022590451357004,-0.4947729044650139,-0.4005915947718167,-0.19620767318959803,-0.15491953770337274,-0.43188043934449666,-0.2147402070981611,-0.3971886592039712,-0.1957535512298372,0.047275609557079636
IBOV_NDX,-0.30361881178726685,-0.7742030684143919,-0.7177871512794071,-0.7855604900903674,-0.25782198761034497,-0.1103639582999501,0.6564492985780827,1.0,0.8558899726595274,0.05057263943790987,0.04165806527435259,0.5166314377582588,0.1832650478111443,-0.09386762875849813,-0.035756541276156226,-0.7060737018981402,-0.28561402225079746,-0.13322214296381,-0.14039962785765933,-0.051496396442881,0.013384033444989665
IBOV_SPX,0.12494167788697552,-0.5240591155354771,-0.3740689235742279,-0.4805711063596017,-0.031091734393420188,-0.03043759315919938,0.8418300309476022,0.8558899726595274,1.0,-0.11535352660943161,-0.06435931499072461,0.1233598036518765,0.019006239454638703,-0.2840704261895297,-0.14336164060606107,-0.28092148581902665,-0.40012552897277054,-0.20306099109883524,-0.3292958482604346,-0.16311787815484918,0.012956679235598423
IBOV_cap,-0.44088548123681043,-0.19565959617730141,-0.314257196999837,-0.3138338801291859,-0.4098125303698454,-0.10672929094395588,-0.23302303897399756,0.05057263943790987,-0.11535352660943161,1.0,0.4070659897060986,0.40225507967085494,0.322427059152317,0.9237568401095715,0.41725786364406875,-0.31458411054939206,0.9021467222583287,0.3912550356524152,0.9482761864053031,0.41432737714022155,-0.22881548219288383
IBOV_resg,-0.20454791736650846,-0.09923290228908728,-0.15978433005394393,-0.15422275555543047,-0.13649394156194777,-0.07652746943799381,-0.11385346149882852,0.04165806527435259,-0.06435931499072461,0.4070659897060986,1.0,0.24486510292077923,0.1622523357500768,0.46317996437458525,0.982082964643085,-0.18853326120049438,0.3583122886223616,0.9773574819719691,0.43475514695397555,0.989169637411538,0.3536952774661217
Dol_NDX,-0.7287099363863584,-0.44865700574262013,-0.6736547281840135,-0.7143242570838216,-0.3724686560400925,-0.13401291059539583,-0.27022590451357004,0.5166314377582588,0.1233598036518765,0.40225507967085494,0.24486510292077923,1.0,0.7904226007007769,0.4227589797930078,0.2431064351955156,-0.7491524720712619,0.17537594064184575,0.13283367670834387,0.3514201730514021,0.22135104938257785,-0.016675554670341323
Dol_SPX,-0.4346065314811937,0.04665801712650833,-0.250101412707061,-0.3449707994555257,-0.16989197525523053,-0.042689325593050435,-0.4947729044650139,0.1832650478111443,0.019006239454638703,0.322427059152317,0.1622523357500768,0.7904226007007769,1.0,0.3876752843194311,0.19904517256996473,-0.245334403431975,0.2194373793202899,0.12138726731061343,0.294415279090744,0.16180886567009514,-0.06492399909366195
Dol_cap,-0.4111759158622262,-0.03635598607180945,-0.2028936500908232,-0.19428195916621846,-0.26983703036270495,-0.07402409291118149,-0.4005915947718167,-0.09386762875849813,-0.2840704261895297,0.9237568401095715,0.46317996437458525,0.4227589797930078,0.3876752843194311,1.0,0.5089530860379403,-0.2394164133504394,0.9000183130949126,0.4720586154444092,0.9825662320123176,0.4987165218428966,-0.12934820761154714
Dol_resg,-0.19903414631034716,-0.023133043883069877,-0.10543455014678292,-0.10027202151777416,-0.09984703309027317,-0.04697402814004649,-0.19620767318959803,-0.035756541276156226,-0.14336164060606107,0.41725786364406875,0.982082964643085,0.2431064351955156,0.19904517256996473,0.5089530860379403,1.0,-0.13991014902387283,0.39637163089400734,0.9780914626135264,0.47260201111998734,0.9966053593973434,0.3040309404664758
NDX_SPX,0.8184262414175365,0.8815200236859966,0.9578469246990111,0.921644494354452,0.5381690544273429,0.20942197448011643,-0.15491953770337274,-0.7060737018981402,-0.28092148581902665,-0.31458411054939206,-0.18853326120049438,-0.7491524720712619,-0.245334403431975,-0.2394164133504394,-0.13991014902387283,1.0,-0.06562142430631071,-0.048640357581289366,-0.23069271983145062,-0.14172149550824564,0.007533376500223762
NDX_cap,-0.33267159943282354,0.07120870053436139,-0.07014202349106034,-0.035268847860128995,-0.3291161884142886,-0.07337337589771965,-0.43188043934449666,-0.28561402225079746,-0.40012552897277054,0.9021467222583287,0.3583122886223616,0.17537594064184575,0.2194373793202899,0.9000183130949126,0.39637163089400734,-0.06562142430631071,1.0,0.41549983142747243,0.9495837405665398,0.4003362562007021,-0.2161792885690705
NDX_resg,-0.13569599512619326,0.04373197052672355,-0.02371012250458527,-0.004525093805572263,-0.09163794893909691,-0.060281374672034906,-0.2147402070981611,-0.13322214296381,-0.20306099109883524,0.3912550356524152,0.9773574819719691,0.13283367670834387,0.12138726731061343,0.4720586154444092,0.9780914626135264,-0.048640357581289366,0.41549983142747243,1.0,0.4532027214966859,0.9881416361655359,0.34201441159091994
SPX_cap,-0.4221110749519143,-0.05239579475197639,-0.2002394362364525,-0.1758787726892211,-0.3194740062734578,-0.08379394410351551,-0.3971886592039712,-0.14039962785765933,-0.3292958482604346,0.9482761864053031,0.43475514695397555,0.3514201730514021,0.294415279090744,0.9825662320123176,0.47260201111998734,-0.23069271983145062,0.9495837405665398,0.4532027214966859,1.0,0.47075932060827685,-0.16841316264847705
SPX_resg,-0.20082766026749893,-0.02971705330270549,-0.1049034478625937,-0.09162378253935986,-0.11099421750138241,-0.05705799658614175,-0.1957535512298372,-0.051496396442881,-0.16311787815484918,0.41432737714022155,0.989169637411538,0.22135104938257785,0.16180886567009514,0.4987165218428966,0.9966053593973434,-0.14172149550824564,0.4003362562007021,0.9881416361655359,0.47075932060827685,1.0,0.32390553588372095
cap_resg,0.10704774688330158,0.02371914099125532,0.04735495463463336,0.06281894463157518,0.4176464935798828,-0.0465498642912983,0.047275609557079636,0.013384033444989665,0.012956679235598423,-0.22881548219288383,0.3536952774661217,-0.016675554670341323,-0.06492399909366195,-0.12934820761154714,0.3040309404664758,0.007533376500223762,-0.2161792885690705,0.34201441159091994,-0.16841316264847705,0.32390553588372095,1.0
