,IBOV,Dol,NDX,SPX,cap,resg,NDX_SPX,Dol_NDX,IBOV_NDX,Dol_SPX
0,25722.0,2.6759,1603.51,1202.08,21.124,0.502,1.3339461599893518,0.0016687766212870516,16.04105992478999,0.0022260581658458674
1,24848.0,2.719,1571.83,1188.05,9.247,5.47,1.3230335423593282,0.001729830834123283,15.808325327802626,0.002288624216152519
2,24691.8,2.714,1563.76,1183.74,8.484,5.792,1.3210333350228936,0.0017355604440579117,15.790018928735867,0.002292733201547637
3,24366.9,2.7218,1557.52,1187.89,21.616,7.088,1.3111651752266622,0.0017475217011659562,15.644678720016438,0.002291289597521656
4,24747.2,2.712,1564.81,1186.19,5.981,8.309,1.31919001171819,0.00173311775870553,15.814827359232112,0.0022863116364157513
5,24291.9,2.7035,1564.92,1190.24,16.542,14.013,1.314793655061164,0.0017275643483372952,15.522774327122153,0.0022713906439037505
6,24369.9,2.7213,1553.4,1182.99,4.707,2.898,1.3131133821925798,0.0017518346852066432,15.688103514870607,0.002300357568533969
7,24509.6,2.7065,1565.78,1187.7,8.858,3.734,1.3183295444977687,0.001728531466745009,15.653284624915377,0.0022787741012040078
8,24805.7,2.704,1545.18,1177.45,5.952,4.2,1.312310501507495,0.0017499579337035167,16.05359893345759,0.002296488173595482
9,24924.1,2.7015,1561.11,1184.52,6.857,3.798,1.3179262486070307,0.0017304994523127774,15.965627021798593,0.0022806706514030997
10,24515.2,2.701,1561.11,1184.52,4.256,3.088,1.3179262486070307,0.0017301791673873079,15.703698009749475,0.0022802485394927906
11,24089.2,2.7195,1573.49,1195.98,6.478,4.974,1.3156490911219252,0.001728323662686131,15.309407749652047,0.0022738674559775246
12,24271.2,2.71,1545.65,1184.63,19.98,4.116,1.3047533829128082,0.0017533076699123345,15.702908161614854,0.0022876341136050917
13,23610.0,2.7165,1514.56,1175.41,6.13,1.717,1.2885376166614202,0.0017935902176209593,15.588685822945278,0.0023111084642805486
14,23818.4,2.6869,1503.64,1167.87,4.407,1.891,1.2875063149151877,0.0017869303822723524,15.840493735202575,0.002300684151489464
15,24197.7,2.6792,1480.66,1163.75,2.349,2.374,1.2723179377013965,0.0018094633474261476,16.342509421474208,0.0023022126745435014
16,24197.7,2.6815,1490.57,1168.41,12.246,2.247,1.2757251307332185,0.0017989762305695139,16.23385684670965,0.0022949991869292458
17,24530.2,2.6645,1509.01,1174.07,3.063,1.387,1.2852811161174378,0.0017657271986269143,16.255823354384663,0.002269455824610117
18,24029.7,2.67,1507.55,1174.55,5.152,1.806,1.283512834702652,0.0017710855361347882,15.93957082683825,0.0022732110169852286
19,23968.1,2.645,1499.46,1171.36,10.905,9.388,1.2801017620543642,0.001763968361943633,15.984487748922945,0.0022580590083321954
20,24350.6,2.6088,1519.63,1181.27,4.065,33.164,1.2864374783072456,0.0017167336785928152,16.02403216572455,0.002208470544414063
21,24149.5,2.61,1523.66,1189.41,21.961,3.49,1.2810216830193122,0.0017129805862200226,15.849664623341164,0.002194365273538981
22,24605.4,2.6025,1525.1,1193.19,6.169,4.622,1.278170283022821,0.0017064454789849847,16.13363058160121,0.0021811279008372513
23,24873.6,2.6018,1508.24,1189.89,8.039,4.846,1.2675457395221406,0.0017250570201029012,16.491805017769053,0.0021865886762641924
