,IBOV,Dol,NDX,SPX,cap,resg,Price,NDX_SPX,Dol_NDX,IBOV_NDX,Dol_SPX,Dol_mean,IBOV_mean,NDX_mean,SPX_mean
IBOV,1.0,0.5263037428603823,0.8336947494075398,0.797176875617082,0.6488316938121549,0.20668432589855812,0.004893427691814356,0.8159358194000577,-0.4396123144811714,-0.3143118645026154,-0.10437057634996431,0.5254544323476756,0.9986990645663761,0.8334132298630346,0.7966878960503992
Dol,0.5263037428603823,1.0,0.7248260409113928,0.7073733079598629,0.40385729020854455,0.16363661142691482,0.03641548837846263,0.7159935733351968,0.145088903257637,-0.5932209971225442,0.5807398531759949,0.6001248612842087,0.5267169609217378,0.7248846257588709,0.7075740585448808
NDX,0.8336947494075398,0.7248260409113928,1.0,0.977856277913344,0.5979369377141027,0.22286770562882927,-0.058623296080943195,0.9580050374435725,-0.42932898130604236,-0.7238582061336135,-0.028357025302071587,0.7238478273678612,0.8329834114089129,0.9996907030947946,0.977388217303834
SPX,0.797176875617082,0.7073733079598629,0.977856277913344,1.0,0.5672074982441614,0.2015098076679121,-0.1915069354917025,0.9214467923188564,-0.4670728726873852,-0.7920908576686647,-0.08404061012578114,0.7067460940338268,0.7962794937325408,0.9776150562824852,0.9995348490324083
cap,0.6488316938121549,0.40385729020854455,0.5979369377141027,0.5672074982441614,1.0,0.2552438338178257,0.10514059008408036,0.5381883905924415,-0.24074167591747947,-0.26271134572014954,-0.03526786206297445,0.40672439249499764,0.6515831237322232,0.5986130898216634,0.5682980523556894
resg,0.20668432589855812,0.16363661142691482,0.22286770562882927,0.2015098076679121,0.2552438338178257,1.0,0.06305475000158124,0.20782990045841063,-0.07898081392134437,-0.11132871878155681,0.006960520989238904,0.16355472544384728,0.20842438822946868,0.22398872455163565,0.2025745003416792
Price,0.004893427691814356,0.03641548837846263,-0.058623296080943195,-0.1915069354917025,0.10514059008408036,0.06305475000158124,1.0,0.002169863593128701,0.29787512306307995,0.3376502606540593,0.326850613657623,0.03680137351771118,0.009904923486397394,-0.05632447638235029,-0.18757394925743529
NDX_SPX,0.8159358194000577,0.7159935733351968,0.9580050374435725,0.9214467923188564,0.5381883905924415,0.20782990045841063,0.002169863593128701,1.0,-0.44514003138794095,-0.7158301126098169,0.015728091821871994,0.7149514203024934,0.8157648204477522,0.9577768434501165,0.9212095656692674
Dol_NDX,-0.4396123144811714,0.145088903257637,-0.42932898130604236,-0.4670728726873852,-0.24074167591747947,-0.07898081392134437,0.29787512306307995,-0.44514003138794095,1.0,0.37254519632779437,0.8544585444892226,-0.23804026048944785,-0.43836803058752677,-0.42897362048077137,-0.4662008896226849
IBOV_NDX,-0.3143118645026154,-0.5932209971225442,-0.7238582061336135,-0.7920908576686647,-0.26271134572014954,-0.11132871878155681,0.3376502606540593,-0.7158301126098169,0.37254519632779437,1.0,0.04646494661296187,-0.5933752643454053,-0.31452745543033983,-0.7238520848168719,-0.792041185157029
Dol_SPX,-0.10437057634996431,0.5807398531759949,-0.028357025302071587,-0.08404061012578114,-0.03526786206297445,0.006960520989238904,0.326850613657623,0.015728091821871994,0.8544585444892226,0.04646494661296187,1.0,0.08832432172861943,-0.10284384906824567,-0.027983741829777496,-0.08311069275411787
Dol_mean,0.5254544323476756,0.6001248612842087,0.7238478273678612,0.7067460940338268,0.40672439249499764,0.16355472544384728,0.03680137351771118,0.7149514203024934,-0.23804026048944785,-0.5933752643454053,0.08832432172861943,1.0,0.5253824634918928,0.7243463875939746,0.7068669238496138
IBOV_mean,0.9986990645663761,0.5267169609217378,0.8329834114089129,0.7962794937325408,0.6515831237322232,0.20842438822946868,0.009904923486397394,0.8157648204477522,-0.43836803058752677,-0.31452745543033983,-0.10284384906824567,0.5253824634918928,1.0,0.8333427187827536,0.7967725424751613
NDX_mean,0.8334132298630346,0.7248846257588709,0.9996907030947946,0.9776150562824852,0.5986130898216634,0.22398872455163565,-0.05632447638235029,0.9577768434501165,-0.42897362048077137,-0.7238520848168719,-0.027983741829777496,0.7243463875939746,0.8333427187827536,1.0,0.9778127956835759
SPX_mean,0.7966878960503992,0.7075740585448808,0.977388217303834,0.9995348490324083,0.5682980523556894,0.2025745003416792,-0.18757394925743529,0.9212095656692674,-0.4662008896226849,-0.792041185157029,-0.08311069275411787,0.7068669238496138,0.7967725424751613,0.9778127956835759,1.0
